,Unnamed: 0,obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,country,longitude,latitude,tags,brewery_id,average_rating,num_of_ratings,num_of_beers,total_check_ins,unique_user_check_ins,last_four_week_check_ins,brewery_desc,brewery
0,0,5-alarm-brewing-co-lake-mills,5 Alarm Brewing Co,micro,211 W Main St,,,Lake Mills,Iowa,,50450,,6415922739.0,United States,-93.53398788,43.41926615,,https://untappd.com/brewery/378685,3.845,1311.0,90.0,1588,432,10,"Our mission at 5 Alarm Brewing Company is to give our community a place to meet with old friends and make new ones all while enjoying great craft beer, wine, and locally crafted root beer. Whether you’re a craft beer enthusiast, firefighter, or just stopping in to check out the memorabilia, we feel we have something for everyone to enjoy at 5 Alarm Brewing Company. Show Less",5_Alarm_Brewing_Co
1,1,515-brewing-co-clive,515 Brewing Co,micro,7700 University Ave,,,Clive,Iowa,,50325-1271,http://www.515brewing.com,5156614615.0,United States,-93.7228408,41.599992,,https://untappd.com/brewery/24774,3.845,46405.0,129.0,67000,11226,205,"Centrally located in the Des Moines metro area and on the Clive Greenbelt Trail, 515 Brewing Company is known for handcrafting some of the best beers in Iowa. With a seven-barrel brew system and over 150 (and growing) recipes, brewing innovation isn’t a term we throw around lightly. We live it. From unexpected ingredients to the challenge of making excellent true-to-style classics, 515 crafts high caliber brews. And it’s not just us or our loyal patrons who think so. Two of our beers, Mexican Spring and #Quadgoals, won gold medals at the Great American Beer Festival.*
Within the weathered beauty of 515's taproom walls, you will find a comfortable atmosphere, charm and camaraderie. And when the weather is nice, enjoy our trailside patio. 515 is a great place to share a beer, cider or seltzer with friends and family.
Welcome to the 515 neighborhood. We look forward to greeting you.
_____
*Great American Beer Festival® Awards
Mexican Spring – Gold Medal in the 2016 Fruit Wheat Beer category
#Quadgoals – Gold Medal in the 2017 Belgian Dubbel or Quadrupel category
Show Less",515_Brewing_Co
2,2,albia-brewing-co-albia,Albia Brewing Co,brewpub,11 Benton Ave E,,,Albia,Iowa,,52531-2032,http://www.albiabrewingcompany.blogspot.com,6419324085.0,United States,-92.80737109999998,41.02718903,,https://untappd.com/brewery/57547,3.3960000000000004,2730.0,0.0,3392,1216,0,Show Less,Albia_Brewing_Co
3,3,alluvial-brewing-company-ames,Alluvial Brewing Company,micro,3715 W 190th St,,,Ames,Iowa,,50014-9316,http://www.alluvialbrewing.com,515337118.0,United States,,,,https://untappd.com/brewery/190226,3.9730000000000003,43681.0,260.0,54688,8937,200,Show Less,Alluvial_Brewing_Company
4,4,backroad-brewery-carlisle,BackRoad Brewery,micro,90 School St,,,Carlisle,Iowa,,50047,http://www.backroadbeer.com,5152102096.0,United States,-93.48531767,41.498501,,https://untappd.com/brewery/63,3.51,3169.0,0.0,4166,2139,4,"Established in 1996 in the county of LaPorte, Indiana, Back Road Brewery is LaPorte’s first production craft brewery. Chuck Krcilek (Co-owner/president) started home brewing in 1990. He found he had a love for making beer. This began an idea that changed the craft brewing scene in LaPorte, Indiana. A small production craft brewery was conceived. Today, sixteen years later, the 7-barrel brewery still operates simply and efficiently. Show Less",BackRoad_Brewery
5,5,barn-town-brewing-co-west-des-moines,Barn Town Brewing Co.,brewpub,9500 University Ave,,,West Des Moines,Iowa,,50266-1888,,5159786767.0,United States,-93.83851429999999,41.5996472,,https://untappd.com/brewery/73381,3.923,77.0,12.0,178,25,0,Show Less,Barn_Town_Brewing_Co_
6,6,bent-river-brewing-co-burlington,Bent River Brewing Co,brewpub,500 Jefferson St,,,Burlington,Iowa,,52601,http://www.burlingtonbentriver.com,3192092773.0,United States,-91.1052085,40.810612799999994,,https://untappd.com/brewery/102,3.569,112093.0,275.0,152707,53266,652,"Located on the Mississippi River's Illinois border, Bent River Brewing Co. was founded in 1997 with a passion for perfecting handcrafted beer that captures the true spirit of traditional brewing and replicates that spirit with unwavering consistency. The result is a line of award-winning, distinctive, year-round and seasonal beers that is savored by beer lovers everywhere. Bent River Brewing Co. currently distributes in Illinois, Iowa and Nebraska. Show Less",Bent_River_Brewing_Co
7,7,big-grove-brewery-and-tap-room-iowa-city,Big Grove Brewery & Tap Room,brewpub,1225 S Gilbert St,,,Iowa City,Iowa,,52240-4507,,3196242337.0,United States,-91.53189828,41.64713299,,https://untappd.com/brewery/79489,3.95,185107.0,502.0,272266,35462,2914,"We live what we love and we love what we do in the heart of Iowa. Our goal's been the same since we opened our doors in 2013: to produce clean, dry, effervescent, aromatic beers using the best ingredients. Thank you for being a part of the magic. Show Less",Big_Grove_Brewery_Tap_Room
8,8,big-grove-brewery-iowa-city,Big Grove Brewery,micro,1225 S Gilbert St,,,Iowa City,Iowa,,52240-4507,http://www.biggrovebrewery.com,3195941891.0,United States,-91.53189828,41.64713299,,https://untappd.com/brewery/79489,3.95,185107.0,502.0,272266,35462,2914,"We live what we love and we love what we do in the heart of Iowa. Our goal's been the same since we opened our doors in 2013: to produce clean, dry, effervescent, aromatic beers using the best ingredients. Thank you for being a part of the magic. Show Less",Big_Grove_Brewery
9,9,big-rack-brew-haus-winterset,Big Rack Brew Haus,micro,2475 Hiatt Apple Trl,,,Winterset,Iowa,,50273-8113,http://www.bigrackbrewhaus.com,,United States,,,,https://untappd.com/brewery/274223,3.5839999999999996,4210.0,31.0,5158,2762,25,"The goal of all of us here at Big Rack is to make all aspects of beer amazing, even if it means bending the rules a wee bit along the way. Our location in the rolling hills of Madison County is a perfect fit for beer makers who love the outdoors, mother nature, and hunting the big horned monsters as much as we do. We work hard, play hard and strive to do everything to the highest standards. Show Less",Big_Rack_Brew_Haus
10,10,boone-valley-brewing-co-boone,Boone Valley Brewing Co,micro,816 7th St,,,Boone,Iowa,,50036-2818,http://www.boonevalleybrewing.com,5154321232.0,United States,-93.88096265,42.062643,,https://untappd.com/brewery/27348,3.695,15316.0,107.0,22163,8228,54,Show Less,Boone_Valley_Brewing_Co
11,11,boot-n-flute-brewery-guild-wurst-tavern-coralville,Boot N Flute Brewery / Guild Wurst Tavern,brewpub,53 2nd St,,,Coralville,Iowa,,52241,http://www.guildwursttavern.com,3193331740.0,United States,-91.56271744,41.66788468,,https://untappd.com/brewery/368216,3.6919999999999997,2381.0,38.0,2949,837,1,"In 2012, Brewmeister Kinkade and his brother, Jon, hiked the entire Appalachian Trail from Georgia to Maine. He took with him a pair of boots and his flute, both of which he repaired along the way. Jon remarked sarcastically, ""when you get back you should open a business called 'Boot 'n Flute Repair Shop'."" Little did Jon know that his flippant suggestion would become reality. However, here at Boot 'n Flute Brewery we don't repair anything, we drink beer. Show Less",Boot_N_Flute_Brewery_Guild_Wurst_Tavern
12,12,brioux-city-brewery-sioux-city,Brioux City Brewery,micro,1306 Court St,,,Sioux City,Iowa,,51105,http://www.briouxcitybrewery.com,7122779568.0,United States,-96.39640025,42.50441425,,https://untappd.com/brewery/370838,3.7960000000000003,2875.0,98.0,3638,882,30,"Created in January 2018 through the love of brewing and craft beer between local brewer Matt Hubert and local businessman/brewer Kelly Quinn. Brioux City is Sioux City's only Brewpub located at 1306 Court St inside of Marty's Tavern, a city staple established in 1962. Cheers! Show Less",Brioux_City_Brewery
13,13,carroll-brewing-co-carroll,Carroll Brewing Co.,micro,226 E 5th St,,,Carroll,Iowa,,51401-2743,http://www.carrollbrewing.com,5157090030.0,United States,-94.86534008,42.06385868,,https://untappd.com/brewery/381491,3.6039999999999996,3832.0,61.0,4766,1975,62,"Carroll Brewing Company is a production brewery and taproom located in Carroll, Iowa with the steadfast values, humble work ethic, and genuine personality of cities like Carroll all over the Midwest. It's built on a culture where hard work is just another day of work and handcrafted is an expectation, not a marketing gimmick. Show Less",Carroll_Brewing_Co_
14,14,catfish-charlies-catfish-creek-brew-pub-dubuque,Catfish Charlies / Catfish Creek Brew Pub,brewpub,1630 E 16th St,,,Dubuque,Iowa,,52001-2306,http://www.catfishcharliesdubuque.com,5635828600.0,United States,-90.65372886,42.51225898,,https://untappd.com/brewery/300439,3.4589999999999996,1323.0,27.0,1518,629,8,"You are probably aware of the recent nationwide boom in the craft beer industry. It has not gone unnoticed by Charlie of Catfish Charlie’s River Club. Actually, he has been part of this movement for years, and in 2015 decided to convert a small corner of his restaurant into his own microbrewery. Now, just a few years later, all of the tappers in Catfish Charlie’s are pouring their own product to rave reviews. Show Less",Catfish_Charlies_Catfish_Creek_Brew_Pub
15,15,clock-house-brewing-cedar-rapids,Clock House Brewing,micro,600 1st St SE,,,Cedar Rapids,Iowa,,52401,http://www.clockhousebrewing.com,3192004099.0,United States,-91.66535400000001,41.973813,,https://untappd.com/brewery/357874,4.045,26551.0,24.0,39944,7331,895,"Housed in the resurrected 107 year old Clock House Building the brew-pub is a welcome addition to its neighbor Black Sheep Social Club. At Clock House Brewing we strive to appease every palate with a wide selection of brew.
Be advised - only good times and great memories allowed! Show Less",Clock_House_Brewing
16,16,confluence-brewing-co-des-moines,Confluence Brewing Co,micro,1235 Thomas Beck Rd Ste A,,,Des Moines,Iowa,,50315-1055,http://www.confluencebrewing.com,5152859005.0,United States,,,,https://untappd.com/brewery/41654,3.8089999999999997,169556.0,371.0,249349,37857,2028,Show Less,Confluence_Brewing_Co
