State,political_tendency
Arizona,Blue
California,Blue
Colorado,Blue
Connecticut,Blue
Delaware,Blue
Georgia,Blue
Hawaii,Blue
Illinois,Blue
Maine,Blue
Maryland,Blue
Massachusetts,Blue
Michigan,Blue
Minnesota,Blue
Nevada,Blue
New Hampshire,Blue
New Jersey,Blue
New Mexico,Blue
New York,Blue
Oregon,Blue
Pennsylvania,Blue
Rhode Island,Blue
Vermont,Blue
Virginia,Blue
Washington,Blue
Wisconsin,Blue
Alabama,Red
Alaska,Red
Arkansas,Red
Florida,Red
Idaho,Red
Indiana,Red
Iowa,Red
Kansas,Red
Kentucky,Red
Louisiana,Red
Mississippi,Red
Missouri,Red
Montana,Red
Nebraska,Red
North Carolina,Red
North Dakota,Red
Ohio,Red
Oklahoma,Red
South Carolina,Red
South Dakota,Red
Tennessee,Red
Texas,Red
Utah,Red
West Virginia,Red
